idFrameElement,frameName,name,coreType,description
6990,Fastener,Material,cty_peripheral,It identifies the material from which the #Fastener is made.
6991,Fastener,Descriptor,cty_peripheral,It identifies a characteristic or description of the #Fastener.
6992,Fastener,Creator,cty_peripheral,An individual or individuals that bring the #Fastener into existence.
6993,Fastener,Time_of_creation,cty_peripheral,The time at which the #Fastener comes into existence.
6994,Fastener,Name,cty_peripheral,The term used to refer to the #Fastener.
6995,Fastener,Type,cty_peripheral,An indication of the subtype of the #Fastener.
6996,Fastener,Use,cty_peripheral,It identifies the purpose for which an #Fastener is made.
9029,Fear,Experiencer,cty_core,The #Experiencer is the person or sentient entity that experiences or feels the emotions.
9030,Fear,Topic,cty_core,The #Topic is the general area in which the emotion occurs. It indicates a range of possible #Stimulus.
9031,Fear,Stimulus,cty_core,"The #Stimulus is the person, event, or state of affairs that evokes the emotional response in the #Experiencer."
9034,Fear,Expressor,cty_core,"The body part, gesture, or other expression of the #Experiencer that reflects his or her emotional state."
9037,Fear,State,cty_core,The #State is the abstract noun that describes a more lasting experience by the #Experiencer.
9032,Fear,Degree,cty_peripheral,The extent to which the #Experiencer's emotion deviates from the norm for the emotion.
9038,Fear,Parameter,cty_peripheral,The #Parameter is a domain in which the #Experiencer experiences the #Stimulus.
9039,Fear,Manner,cty_peripheral,"Any description of the way in which the #Experiencer experiences the #Stimulus which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way).  The #Manner may also describe a state of the #Experiencer that affects the details of the emotional experience."
9040,Fear,Time,cty_peripheral,"The #Time when the #Experiencer, #Expressor, or #State can be described as having said emotion."
13679,Feeding,Agent,cty_core,Agent
13680,Feeding,Pacient,cty_core,Pacient
13681,Feeding,Food,cty_core,Alimento
13867,Feeding,Provedor,cty_core,Entidade - humana ou animal - que alimenta o #Beneficiário.
13868,Feeding,Food,cty_core,Food
13869,Feeding,Recipient,cty_core,Recipient
13682,Feeding,Imposed_purpose,cty_peripheral,Imposed_purpose
13683,Feeding,Means,cty_peripheral,Means
13685,Feeding,Purpose,cty_peripheral,Purpose
13686,Feeding,Source,cty_peripheral,Source
13687,Feeding,Place,cty_peripheral,Lugar
13688,Feeding,Time,cty_peripheral,Tempo
3786,Feeling,Experiencer,cty_core,The #Experiencer experiences the #Emotion or is in the #Emotional_state.
3787,Feeling,Emotion,cty_core,The #Emotion is the feeling that the #Experiencer experiences.
3788,Feeling,Emotional_state,cty_core,It is the state the #Experiencer is in.
3789,Feeling,Evaluation,cty_core,It is a negative or positive assessment of the #Experiencer regarding his or her #Emotional_state.
87,Feigning,Agent,cty_core,The #Agent is the person who acts in a misleading way to create the impression that a #State_of_affairs holds.
88,Feigning,Original,cty_core,This is the entity which is copied.
89,Feigning,Copy,cty_core,The #Copy produced by the #Creator.
93,Feigning,State_of_affairs,cty_core,"The #State_of_affairs is a an event, a state, or a property that the #Agent wants others to believe have occurred or hold."
90,Feigning,Manner,cty_peripheral,"Any description of the intentional act which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). In addition, it may indicate salient characteristics of an #Agent that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully)."
91,Feigning,Means,cty_peripheral,An act performed by the #Agent that accomplishes the imitation.
92,Feigning,Degree,cty_peripheral,The #Degree to which event occurs.
94,Feigning,Purpose,cty_peripheral,An action or state that the #Agent intends to accomplish by performing the feigning of some #State_of_affairs.
97,Feigning,Time,cty_peripheral,The #Time when the #Agent feigns something.
102,Feigning,Place,cty_peripheral,The place in which the #Agent feigns something.
6048,Fields,Activity,cty_core,An activity that defines a group of people in their professional capacity.
6049,Fields,Practitioner,cty_core,"The individual, group, or organization  that engages in the #Activity as part of their profession."
6050,Fields,Salient_entity,cty_core,A physical or abstract entity that is characteristically associated with the #Activity.
6051,Fields,Work,cty_core,A phase of a #Practitioner's career that is spent engaged in an #Activity.
6052,Fields,Type,cty_peripheral,The subfield of the #Activity that the #Practitioner is engaged in.
6053,Fields,Place,cty_peripheral,The location where the #Practitioner engages in the #Activity.
6054,Fields,Time,cty_peripheral,The #Time when the #Practitioner engages in the #Activity.
4386,Fighting_activity,Combatants,cty_core,The #Combatants participate as fighters in the #Fight.
4387,Fighting_activity,Fight,cty_core,The violent activity.
4388,Fighting_activity,Time,cty_peripheral,When the #Fight takes place.
4389,Fighting_activity,Place,cty_peripheral,Where the #Fight takes place.
4390,Fighting_activity,Manner,cty_peripheral,The manner of the #Fight.
4392,Fighting_activity,Salient_activity,cty_peripheral,An activity that engaged in by the #Combatants while fighting.
4393,Fighting_activity,Issue,cty_peripheral,The #Issue over which #Fight happens.
4394,Fighting_activity,Duration,cty_peripheral,The amount of time for which the #Fight takes place.
4395,Fighting_activity,Means,cty_peripheral,The means by which the #Combatants engage in the #Fight.
4396,Fighting_activity,Instrument,cty_peripheral,The weapon or other instrument used by the #Combatants.
4397,Fighting_activity,Purpose,cty_peripheral,The state of affairs that (some of) the #Combatants wish to achieve by fighting.
651,Filling,Agent,cty_core,The #Agent is the actor who instigates the filling.
652,Filling,Theme,cty_core,The #Theme is the physical object or substance which changes location.
655,Filling,Goal,cty_core,The #Goal is the area or container being filled.
667,Filling,Cause,cty_core,An event which brings about the filling of the #Goal.
653,Filling,Source,cty_peripheral,The #Source is the location where the #Theme begins its motion.
654,Filling,Path,cty_peripheral,The #Path is the trajectory of the motion.
656,Filling,Degree,cty_peripheral,The #Degree to which the filling occurs.
658,Filling,Manner,cty_peripheral,The #Manner in which the filling occurs.
659,Filling,Means,cty_peripheral,The #Means by which the filling occurs.
662,Filling,Time,cty_peripheral,When the filling occurs.
663,Filling,Place,cty_peripheral,Where the filling takes place.
665,Filling,Instrument,cty_peripheral,The #Instrument with which the filling occurs.
11582,Finals,Finals,cty_core,Final game of a sports competition.
11583,Finals,Loser,cty_core,"The squad that loses the final match and, hence, the tournament."
11585,Finals,Winner,cty_core,The squad that wins the final match and becomes the champion.
12245,Finals,Athletes,cty_core,"Individuals or teams representing a country, taken collectively."
11584,Finals,Competition,cty_peripheral,The sports tournament being played.
11586,Finals,Duration,cty_peripheral,For how long the final match is played.
11587,Finals,Venue,cty_peripheral,The venue where the final match takes place.
11588,Finals,Place,cty_peripheral,Where the match occurs.
11589,Finals,Manner,cty_peripheral,How the final match is played.
11590,Finals,Means,cty_peripheral,Actions of the #Winner or the #Loser that influence the development of the final match.
11591,Finals,Prize,cty_peripheral,The prize that is given to the winner.
11592,Finals,Time,cty_peripheral,The period of time when the final match occurs.
2158,Fining,Speaker,cty_core,The #Speaker is the person imposes the fine upon the #Payer.
2164,Fining,Payer,cty_core,The #Payer is the person or thing about whom/which a judgment is made.
