idFrameElement,frameName,name,coreType,description,Role+AF8-Type
3831,Achieving+AF8-first,Time,cty+AF8-peripheral,It identifies the +ACM-Time when the +ACM-Cognizer comes up with the +ACM-New+AF8-idea.,Time/Duration
3832,Achieving+AF8-first,Place,cty+AF8-peripheral,It identifies the +ACM-Place where the +ACM-Cognizer comes up with the +ACM-New+AF8-idea.,Path/Location
3833,Achieving+AF8-first,Means,cty+AF8-peripheral,It identifies the +ACM-Means by which the +ACM-Cognizer accomplishes the innovative achievement.,Instrument
3834,Achieving+AF8-first,Purpose,cty+AF8-peripheral,It identifies the +ACM-Purpose for which the +ACM-Cognizer creates the +ACM-New+AF8-idea.,Goal/Result
3836,Achieving+AF8-first,Field,cty+AF8-peripheral,The +ACM-Field is the general domain of endeavor to which the +ACM-Cognizer is contributing and of which the +ACM-New+AF8-idea is a part.,Path/Location
3837,Achieving+AF8-first,Instrument,cty+AF8-peripheral,An entity used by the +ACM-Cognizer to achieve the introduction of the +ACM-New+AF8-idea into society.,Instrument
3838,Achieving+AF8-first,Manner,cty+AF8-peripheral,+ACI-Any description of the creative event which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). In addition, it may indicate salient characteristics of a +ACM-Cognizer that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully).+ACI-,Path/Location
3839,Achieving+AF8-first,Basis,cty+AF8-peripheral,The conceptual material from which the +ACM-Cognizer invents the +ACM-New+AF8-idea.,Path/Location
5980,Active+AF8-substance,Effect,cty+AF8-core,The change brought about by the Substance.,Unclassified
5981,Active+AF8-substance,Substance,cty+AF8-core,The internally undifferentiated physical entity that has an +ACM-Effect.,Path/Location
5983,Active+AF8-substance,Type,cty+AF8-peripheral,This FE indicates what subtype of the general category the +ACM-Substance belongs to.,Path/Location
5984,Active+AF8-substance,Name,cty+AF8-peripheral,The name of the material that makes up the active +ACM-Substance.,Path/Location
1386,Activity,Agent,cty+AF8-core,The +ACM-Agent is engaged in the +ACM-Activity.,Participant
1382,Activity,Activity,cty+AF8-core+AC0-unexpressed,It identifies the +ACM-Activity in which the  +ACM-Agent  is engaged.,Unclassified
1383,Activity,Duration,cty+AF8-peripheral,It identifies the amount of +ACM-Time an +ACM-Activity takes.,Time/Duration
1384,Activity,Place,cty+AF8-peripheral,It identifies the +ACM-Place where the +ACM-Activity occurs.,Path/Location
1385,Activity,Time,cty+AF8-peripheral,It identifies the +ACM-Time when the +ACM-Activity occurs.,Time/Duration
1387,Activity,Manner,cty+AF8-peripheral,+ACI-Any description of the activity which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). It may also indicate salient characteristics of an +ACM-Agent that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully).+ACI-,Path/Location
1722,Activity+AF8-abandoned+AF8-state,Agent,cty+AF8-core,It identifies the +ACM-Agent in an unfinished +ACM-State of an activity.,Participant
1725,Activity+AF8-abandoned+AF8-state,Activity,cty+AF8-core,The process that the +ACM-Agent is performing.,Path/Location
1723,Activity+AF8-abandoned+AF8-state,Time,cty+AF8-peripheral,The time at which the +ACM-Agent and Activity remain unfinished.,Path/Location
1724,Activity+AF8-abandoned+AF8-state,Duration,cty+AF8-peripheral,The length of time that the +ACM-Activity remains unfinished.,Path/Location
1726,Activity+AF8-abandoned+AF8-state,Place,cty+AF8-peripheral,The location at which the +ACM-Activity is no longer in progress.,Path/Location
1854,Activity+AF8-done+AF8-state,Agent,cty+AF8-core,It identifies the +ACM-Agent in a done state of an the +ACM-Activity.,Participant
1855,Activity+AF8-done+AF8-state,Activity,cty+AF8-core,It identifies the +ACM-Activity in which the +ACM-Agent was engaged.,Unclassified
1856,Activity+AF8-done+AF8-state,Time,cty+AF8-peripheral,The point at which the +ACM-Agent is done with the +ACM-Activity.,Path/Location
1857,Activity+AF8-done+AF8-state,Place,cty+AF8-peripheral,The location where the +ACM-Agent finishes the +ACM-Activity.,Path/Location
1682,Activity+AF8-finish,Agent,cty+AF8-core,It identifies the +ACM-Agent who has finished an +ACM-Activity.,Participant
1683,Activity+AF8-finish,Activity,cty+AF8-core,It identifies the +ACM-Activity that the +ACM-Agent has finished.,Path/Location
1677,Activity+AF8-finish,Manner,cty+AF8-peripheral,It identifies the +ACM-Manner an +ACM-Agent is engaged in finishing an +ACM-Activity.,Manner/Means
1680,Activity+AF8-finish,Place,cty+AF8-peripheral,It identifies the +ACM-Place where the +ACM-Agent finishes the +ACM-Activity.,Path/Location
1681,Activity+AF8-finish,Time,cty+AF8-peripheral,It identifies the +ACM-Time when the +ACM-Activity finishes.,Time/Duration
